objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Atlantes: Eaux Glacées","300872","0","0","0","1","0","0","0","0","0","0","0","3","Philibert","","","","","82142154","6.32426","7.936","2.5556","0","4662","thing","Aquatica: Cold Waters","1","5","60","60","30","2021","2,3,4,5","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Gigamic","French","2021","French edition"
"Atlantis Rising (Second Edition)","248490","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139149305","6.85328","7.47782","2.4718","685","9983","thing","Atlantis Rising (Second Edition)","1","7","120","120","60","2024","1,2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Elf Creek Games; Lucky Duck Games","French","2024","French edition"
"Avant Carde","390163","7","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","108649036","5.79766","6.88582","1.8333","4837","1800","thing","Avant Carde","1","5","35","35","25","2024","1,2,3,4","3","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Resonym","English","2024","English edition"
"Les Aventuriers du Rail Legacy: Légendes de L'Ouest","390092","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133333424","7.77519","8.62797","2.5625","50","15909","thing","Ticket to Ride Legacy: Legends of the West","2","5","90","90","20","2023","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Days of Wonder","French","2023","French edition"
"Ayar: Children of the Sun","429438","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","131801386","6.12467","7.89598","3.2593","2551","1602","thing","Ayar: Children of the Sun","1","4","90","90","60","2025","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Osprey Games","English","2025","English edition"
"Azul","230802","8","42","0","1","0","0","0","0","0","0","0","3","","","","","","47175242","7.60509","7.71436","1.7724","99","184552","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C1","2025-09-07","Plan B Games","English; French","2017","English/French first edition"
"Azul Duel","431038","0","0","0","1","0","0","0","0","0","0","0","3","Lilojeux","","","","","129543231","6.29035","6.98727","2.2933","1910","7248","thing","Azul Duel","2","2","45","45","30","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C2","2025-09-07","Next Move Games","French","2025","French edition"
"Azul Pavillon d'été: Pavillon Etincelant","332613","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","139692871","5.95912","7.59821","2.1818","0","4503","thing","Azul: Summer Pavilion – Glazed Pavilion","2","4","45","45","30","2021","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Next Move Games","French","2021","French edition"
"Azul: Crystal Mosaic","294345","7.7","1","0","1","0","0","0","0","0","0","0","3","GreatBoardGames","","","","","71605215","6.36602","7.2657","1.6538","0","11937","thing","Azul: Crystal Mosaic","2","4","45","45","30","2020","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","B2","2021-07-11","Next Move Games","English","2020","English edition"
"Azul: Joker Tiles","235739","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","48707517","5.94713","7.32631","1.6667","0","3772","thing","Azul: Joker Tiles","2","4","45","45","30","2017","2,3,4","2","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Plan B Games","English","2017","English first edition"
"Azul: Stained glass of Sintra / Les vitraux de Sintra","256226","7.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","63369578","6.99242","7.28179","2.0129","510","25340","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C1","2025-09-07","Next Move Games","English; French","2018","English/French edition"
"Azul: Summer Pavilion","287954","7.5","2","0","1","0","0","0","0","0","0","0","1","","","","","","78784775","7.29571","7.56473","2.0762","241","33414","thing","Azul: Summer Pavilion","2","4","45","45","30","2019","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C1","2025-09-07","","","",""
"Azul: Summer Pavilion – Objective Tiles Mini Expansion","292743","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","101298871","5.60593","7.72787","2","0","871","thing","Azul: Summer Pavilion – Objective Tiles Mini Expansion","2","4","45","45","30","2019","2,3,4","3","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Bad Company","340677","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","86946748","6.51414","7.22732","1.9341","1296","5230","thing","Bad Company","1","6","30","30","30","2021","1,2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B5","2025-09-07","Aporta Games","English","2021","English first edition"
"Bag of Chips","344114","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","94009366","5.94775","6.40957","1.12","3520","4410","thing","Bag of Chips","2","5","20","20","15","2022","2,3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Blue Orange Games; Mixlore","English","2022","English second edition"
"Baghdad: The City of Peace – Deluxe Edition","425630","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143208710","5.83277","7.67488","3.4","4460","851","thing","Baghdad: The City of Peace","1","4","120","120","90","2026","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Alley Cat Games","English","2026","English edition"
"Bamboo","351538","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","102735535","6.22794","7.06563","2.9109","2129","5105","thing","Bamboo","2","4","110","110","90","2023","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B4","2025-09-07","Devir","Catalan; English; Italian; Portuguese; Spanish","2023","Multilingual edition"
"Barcelona","383607","8.8","0","0","1","0","0","0","0","0","0","0","1","","","","","","109758858","6.94606","7.71924","3.3614","564","7910","thing","Barcelona","1","4","90","90","60","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Board&Dice","English","2023","English edition"
"Barcelona: Passeig de Gràcia","415314","0","0","0","1","0","0","0","0","0","0","0","3","BGBliss","","","","","126564344","5.77993","7.97764","3.3","0","2263","thing","Barcelona: Passeig de Gràcia","1","4","90","90","60","2024","1,2,3,4","3,4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Board&Dice","English","2024","English edition"
"Barrage: Duel","397438","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693864","5.88359","8.52382","3.7143","0","2792","thing","Barrage: Duel","2","2","120","120","120","2024","2","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2024","English edition"
"Barrage: Executive Officer Promo A","318010","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693891","5.72671","8.03832","0","0","2753","thing","Barrage: Executive Officer Promo A","1","4","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2019","English edition"
"Barrage: Executive Officer Promo B","304458","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","102025536","5.72658","7.92563","0","0","2912","thing","Barrage: Executive Officer Promo B","1","5","120","120","60","2020","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2020","English edition"
"Barrage: Executive Officer Promo C","346071","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693888","5.66136","7.96348","3.3333","0","2412","thing","Barrage: Executive Officer Promo C","1","5","120","120","60","2021","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2021","English edition"
"Barrage: Executive Officer Promo D","363533","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693884","5.64582","7.82636","0","0","2339","thing","Barrage: Executive Officer Promo D","1","5","120","120","60","2022","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2022","English edition"
"Barrage: Executive Officer Promo E","397434","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693874","5.59037","7.67987","0","0","1904","thing","Barrage: Executive Officer Promo E","2","5","120","120","60","2023","","","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2023","English edition"
"Barrage: The Colorado Connection","397437","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693867","5.76828","8.26122","4.125","0","3338","thing","Barrage: The Colorado Connection","2","4","120","120","120","2024","2,3,4","4","14","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2024","English edition"
"Barrage: The Geological Factor","388973","0","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","111693878","5.61431","7.60138","0","0","2249","thing","Barrage: The Geological Factor","1","4","120","120","60","2023","4","4","","","","","","","","expansion","","","","","","","","","","","","Cranio Creations","English","2023","English edition"
"Bebop","414349","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","130978321","5.67543","6.65696","2.4167","6873","594","thing","Bebop","2","4","60","60","45","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","BUREAU","2025-09-07","","","",""
"Bebop: Festivals Expansion","436371","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","131131642","0","7.35","0","0","165","thing","Bebop: Festivals Expansion","2","4","60","60","45","2024","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Beyond the Sun","317985","8","2","0","1","0","0","0","0","0","0","0","2","","","","","","77244365","7.55703","7.86255","3.1552","112","19926","thing","Beyond the Sun","2","4","120","120","60","2021","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","A3","2025-09-07","Matagot","French","2021","French edition"
"Bitoku","323612","8","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","86240753","7.19939","7.77598","3.7639","305","15520","thing","Bitoku","1","4","120","120","120","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Devir","English; Spanish","2021","English/Spanish first edition"
"Blackout: Hong Kong","262215","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","54904753","6.86616","7.39133","3.4603","666","10293","thing","Blackout: Hong Kong","1","4","150","150","75","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","eggertspiele","French","2019","French edition"
"Blue Moon City","21882","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","68097096","6.69986","7.03742","2.2852","921","10510","thing","Blue Moon City","2","4","50","50","30","2018","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B5","2025-09-07","CMON Global Limited; Spaghetti Western Games","English","2018","CMON English edition"
"Blueprints of Mad King Ludwig","376610","7","0","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","105280407","5.87866","7.34777","2.8182","4049","1886","thing","Blueprints of Mad King Ludwig","1","5","60","60","60","2024","1,2,3,4,5","4","10+","","","","","","","standalone","","","","","","","","","","","","Bézier Games","English","2024","English edition"
"Bonfire","304420","7","0","0","1","0","0","0","0","0","0","0","3","BoardGameBliss - 20 sept","","","","","72309036","7.0728","7.59775","3.6299","420","13273","thing","Bonfire","1","4","100","100","70","2020","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonsai","366994","0","0","0","1","0","0","0","0","0","0","0","3","BGBliss","","","","","119443210","6.5102","7.16695","1.8","1306","6831","thing","Bonsai","1","4","40","40","40","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A3","2025-09-07","DV Games","English","2023","English edition"
"Bonsai: Wabi Sabi","422336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130565535","5.58813","7.7377","2","0","803","thing","Bonsai: Wabi Sabi","1","5","40","40","40","2024","1,2,3,4,5","4,5","8","","","","","","","expansion","","","","","","","","","","","","DV Games","English","2024","English edition"
"Boomerang: Australia","296167","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","71730854","5.99611","6.83675","1.5263","3213","1661","thing","Boomerang: Australia","2","4","30","30","15","2020","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Grail Games; Matagot","Dutch; English; French","2020","Dutch/English/French edition"
"Boonlake","343905","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","88118845","7.00861","7.60158","3.8055","496","11185","thing","Boonlake","1","4","160","160","80","2022","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Capstone Games","English","2022","Capstone English edition"
"boop.","355433","7.5","5","0","1","0","0","0","0","0","0","0","1","","","","","","105595660","6.5049","7.03857","1.3832","1318","8964","thing","boop.","2","2","30","30","20","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B4","2025-09-07","","","",""
"Bora Bora","127060","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","16162173","7.16908","7.55719","3.7259","327","13108","thing","Bora Bora","2","4","120","120","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bora Bora: Orange God Tiles","149712","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","21127633","5.75539","7.43366","2.3889","0","1409","thing","Bora Bora: Orange God Tiles","2","4","60","60","60","2013","2,3,4","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Brass: Birmingham","224517","9.2","0","0","1","0","0","0","0","0","0","0","3","","","","","","53076143","8.39343","8.56358","3.8617","1","84483","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B5","2025-09-07","Roxley","English","2018","English retail edition"
"Brian Boru: Haut Roi d'Irlande","337765","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","97402612","6.82091","7.45399","2.5592","730","6893","thing","Brian Boru: High King of Ireland","3","5","90","90","60","2022","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Origames; Osprey Games","French","2022","French edition"
"Bruges","136888","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","18098865","7.10084","7.42548","2.7556","390","12528","thing","Bruges","2","4","60","60","60","2013","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions","French","2013","French edition"
"Bunny Kingdom","184921","7.5","2","0","1","0","0","0","0","0","0","0","1","","","","","","54363647","7.10539","7.40715","2.2993","386","21403","thing","Bunny Kingdom","2","4","60","60","40","2017","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cacao","171499","8","8","0","1","0","0","0","0","0","0","0","1","","","","","","46220279","6.7784","7.06997","1.8238","789","14904","thing","Cacao","2","4","45","45","45","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C2","2025-09-07","","","",""
"Cacao: Chocolatl","191540","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","46220280","6.24491","7.48821","2.069","0","5316","thing","Cacao: Chocolatl","2","4","60","60","60","2016","2,3,4","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Calico","283155","8","6","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","64635773","7.24328","7.47926","2.1981","270","41918","thing","Calico","1","4","45","45","30","2020","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A1","2025-09-07","Alderac Entertainment Group; Flatout Games","English","2020","English edition"
"Camel Up","153938","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26479019","6.87602","7.02991","1.502","644","37960","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions","French","2014","French edition"
"Camel Up: Supercup","172380","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","54243052","6.44301","7.32798","1.7241","0","9233","thing","Camel Up: Supercup","2","10","45","45","30","2015","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Can't Stop","41","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","134987721","6.79015","6.94715","1.1427","768","22835","thing","Can't Stop","2","4","30","30","30","2025","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B3","2025-09-07","Playte; Popcorn Games","Korean","2025","Korean triangle edition"
"Cap'taine Carcasse","149155","8","12","0","1","0","0","0","0","0","0","0","3","Secret cabal","","","","","38621744","6.44148","6.85393","1.319","1468","10945","thing","Dead Man's Draw","2","4","15","15","15","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Bombyx","French","2016","French-only edition"
"Carcassonne","822","7.5","30","0","1","0","0","0","0","0","0","0","3","","","","","","11656713","7.29877","7.4166","1.8848","239","224147","thing","Carcassonne","2","5","45","45","30","2002","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","A2","2025-09-07","Hans im Glück; Schmidt Spiele","French","2002","French first edition"
"Carcassonne Maps: Chips","291518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","75964560","5.56261","7.44036","1","0","679","thing","Carcassonne Maps: Chips","2","4","45","45","30","2019","","","","","","","","","","expansion","","","","","","","","","","","","Hans im Glück","English; German","2019","English/German edition"
"Carcassonne Maps: Península Ibérica","291516","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","75825700","5.55219","7.77193","2","0","420","thing","Carcassonne Maps: Península Ibérica","2","4","0","0","0","2019","2,3,4","2","8+","","","","","","","expansion","","","","","","","","","","","","Hans im Glück","English; German","2019","English/German edition"
"Carcassonne: Auberges et Cathedrales","2993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","13238182","7.39351","7.64491","1.9265","0","54014","thing","Carcassonne: Inns & Cathedrals","2","6","60","60","60","2002","2,3,4,5,6","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Bazars, ponts et forteresses","66646","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","23120829","6.32689","7.03417","2.0588","0","12967","thing","Carcassonne: Expansion 8 – Bridges, Castles and Bazaars","2","6","45","45","30","2010","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Damoiselle & Dragon","15158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","11656720","6.51726","6.82125","1.9934","0","29587","thing","Carcassonne: Dragon & Fairy","2","6","60","60","60","2005","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Die Kultstätte","38431","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","11656762","5.72305","6.73076","1.7333","0","1956","thing","Carcassonne: The Cult","2","5","60","60","60","2008","2,3,4,5","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","W. Nostheide Verlag GmbH","German","2008","Spielbox Hans im Glück: Der Almanach edition"
"Carcassonne: Die Pest","85003","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","13259782","5.64219","6.53278","2.2105","0","2081","thing","Carcassonne: The Plague","2","6","60","60","60","2010","3,4,5,6","5,6","","No necessary in-game text","","","","","","expansion","","","","","","","","","Mat","","","W. Nostheide Verlag GmbH","German","2010","Spielbox German edition"
"Carcassonne: Die Windrosen","131676","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","20890038","5.5947","6.46673","1.6364","0","2134","thing","Carcassonne: Die Windrosen","2","6","0","0","0","2012","2,3,4","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: King & Scout","7707","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","11656735","6.14481","6.60141","1.7965","0","9502","thing","Carcassonne: King & Scout","2","5","45","45","45","2003","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Les Aéronefs","118615","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368119","5.91539","6.66291","1.7447","0","6086","thing","Carcassonne: The Flying Machines","2","6","0","0","0","2012","2,3,4,5,6","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Les Brigands","118616","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368177","5.70189","6.25312","1.7381","0","5333","thing","Carcassonne: The Robbers","2","6","0","0","0","2012","3,4,5,6","2,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Les Ferrys","118614","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368176","5.93285","6.77214","1.8113","0","5879","thing","Carcassonne: The Ferries","2","6","0","0","0","2012","2,3,4,5","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Les Messagers","118619","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368120","5.77222","6.41606","1.8","0","5865","thing","Carcassonne: The Messengers","2","6","0","0","0","2012","2,3,4,5,6","2,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Les Mines d'Or","118617","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368121","5.98052","6.90653","1.7955","0","5893","thing","Carcassonne: The Gold Mines","2","6","0","0","0","2012","2,3,4,5,6","2,3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Little Buildings","130998","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368182","5.5805","6.36884","1.8333","0","1830","thing","Carcassonne: Little Buildings","2","6","0","0","0","2012","2,3,4,5,6","2","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Magicien & Sorcière","118618","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17368122","5.87288","6.73437","1.675","0","5605","thing","Carcassonne: Mage & Witch","2","6","0","0","0","2012","2,3,4,5","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Maire et cloîtres","31784","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","23120833","6.61909","7.15444","2.019","0","19357","thing","Carcassonne: Abbey & Mayor","2","6","30","30","30","2007","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Marchands & Bâtisseurs","5405","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","13704188","7.3224","7.62306","2.0576","0","44900","thing","Carcassonne: Traders & Builders","2","6","60","60","60","2003","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Moutons et collines","153773","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","24053353","6.34182","7.34318","1.8654","0","9536","thing","Carcassonne: Sheep & Shepherds","2","6","40","40","40","2014","2,3,4,5,6","2,3,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Filosofia Éditions; Hans im Glück","French","2014","French edition"
"Carcassonne: The River II","18836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","11656747","6.57221","7.21408","1.6949","0","10311","thing","Carcassonne: The River II","2","6","60","60","60","2005","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carnegie","310873","9","4","0","1","0","0","0","0","0","0","0","1","Kickstarter
","","","","","75589400","7.52107","7.95745","3.8169","127","16716","thing","Carnegie","1","4","120","120","90","2022","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Quined Games","English","2022","English deluxe collector's edition"
"Carnegie: Departments and Donations Expansion","366201","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","107302204","5.89853","8.30839","3.7778","0","2927","thing","Carnegie: Departments and Donations Expansion","1","4","180","180","120","2023","2,3,4","2,4","14+","","","","","","","expansion","","","","","","","","","","","","Pegasus Spiele","English; German","2023","German/English edition"
"Carpe Diem","245934","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","53523064","7.04793","7.4909","2.5387","451","14070","thing","Carpe Diem","2","4","75","75","45","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","alea; Ravensburger AG","English; French; German","2018","Multilingual first edition, first printing"
"Cartographers","263918","7","10","0","1","0","0","0","0","0","0","0","3","BoardGameBliss","","","","","80152705","7.38794","7.55177","1.8904","184","62748","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","B3","2025-09-07","Thunderworks Games","English","2019","Thunderworks English edition"
"Cartographers Heroes","315767","0","0","0","1","0","0","0","0","0","0","0","3","JokerPub","","","","","90309046","7.04094","7.69833","1.9643","461","16596","thing","Cartographers Heroes","1","100","45","45","30","2021","1,2,3,4,5,6,7,8,9,10","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","B3","2025-09-07","Intrafin Games","French","2021","French edition"
"Cartographers: Ambush Mini Expansion","302884","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90765341","5.96229","7.75339","1.75","0","4046","thing","Cartographers: Ambush Mini Expansion","1","100","45","45","30","2020","1,2,3,4,5,6,7,8","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2020","English edition"
"Cartographers: Map Pack 6 – Hornhelm: Wasteland Market","353865","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","103155532","5.74905","7.93421","2","0","2657","thing","Cartographers: Map Pack 6 – Hornhelm: Wasteland Market","1","99","45","45","30","2022","","","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2022","English edition"
"Cartographers: Skills Mini Expansion 2","319315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","90765312","5.76614","7.58285","1.6","0","3134","thing","Cartographers: Skills Mini Expansion 2","1","100","45","45","30","2021","1,2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","Thunderworks Games","English","2021","English edition"
"Cascadero","401216","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","115704973","6.30352","7.26575","2.5652","1860","3100","thing","Cascadero","2","4","60","60","45","2024","2,3,4","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","C3","2025-09-07","Bitewing Games","English","2024","English edition"
"Cascadia","295947","8.5","13","0","1","0","0","0","0","0","0","0","3","Kickstarter","","","","","74490265","7.73419","7.88776","1.8422","60","93453","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","A1","2025-09-07","Alderac Entertainment Group; Flatout Games","English","2021","English edition"
"Cascadia: Kickstarter Promo Cards","343277","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","84850942","6.06055","7.72706","1.9091","0","5349","thing","Cascadia: Kickstarter Promo Cards","1","4","45","45","30","2021","1,2,3,4","2,3","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
